layer, center, hexagon,,,,,,, binCount, mdtCount, population
1,POINT (105.85730111936785 21.019661184505473),POLYGON ((105.85841360531892 21.02145982162478, 105.85952606442999 21.019661170041168, 105.85841357848008 21.01786254015402, 105.85618866025563 21.01786254015402, 105.85507617430572 21.019661170041168, 105.85618863341679 21.02145982162478, 105.85841360531892 21.02145982162478)),1,1,0.333333333
1,POINT (105.84395088519527 21.02685561722607),POLYGON ((105.84506342484008 21.028654254344012, 105.84617593763353 21.02685560275633, 105.84506339798988 21.02505697287325, 105.84283837240064 21.02505697287325, 105.84172583275696 21.02685560275633, 105.84283834555043 21.028654254344012, 105.84506342484008 21.028654254344012)),1,1,38.11439888
2,POINT (105.84951314021619 21.02505699454564),POLYGON ((105.85062566643535 21.026855631663928, 105.85173816580597 21.025056980077267, 105.85062563958797 21.023258350193164, 105.8484006408444 21.023258350193164, 105.84728811462642 21.025056980077267, 105.84840061399704 21.026855631663928, 105.85062566643535 21.026855631663928)),5,6,66.9262087
2,POINT (105.84283810369261 21.02505692943745),POLYGON ((105.84395062991126 21.026855566555735, 105.84506312928141 21.02505691496907, 105.8439506030639 21.023258285084975, 105.8417256043213 21.023258285084975, 105.8406130781038 21.02505691496907, 105.84172557747395 21.026855566555735, 105.84395062991126 21.026855566555735)),3,5,171.5337039
2,POINT (105.84951326110037 21.035848904103602),POLYGON ((105.8506258678962 21.037647541219854, 105.85173844782643 21.035848889627086, 105.85062584103179 21.034050259749094, 105.84840068116897 21.034050259749094, 105.84728807437432 21.035848889627086, 105.84840065430456 21.037647541219854, 105.8506258678962 21.037647541219854)),2,4,161.4681517
2,POINT (105.84951314021619 21.0214597130746),POLYGON ((105.85062563958797 21.023258350193558, 105.85173811211692 21.02145969860893, 105.8506256127463 21.0196610687228, 105.8484006676861 21.0196610687228, 105.84728816831547 21.02145969860893, 105.8484006408444 21.023258350193558, 105.85062563958797 21.023258350193558)),5,8,127.8970064
2,POINT (105.85285104118938 21.02325845152887),POLYGON ((105.85396355398485 21.025057088647497, 105.85507603993466 21.023258437061855, 105.85396352714034 21.02145980717674, 105.85173855523841 21.02145980717674, 105.85062604244408 21.023258437061855, 105.8517385283939 21.025057088647497, 105.85396355398485 21.025057088647497)),8,16,163.0599232
2,POINT (105.85952599716965 21.026855798102012),POLYGON ((105.86063853681583 21.028654435219956, 105.86175104961065 21.02685578363228, 105.86063850996561 21.0250571537492, 105.85841348437368 21.0250571537492, 105.85730094472866 21.02685578363228, 105.85841345752348 21.028654435219956, 105.86063853681583 21.028654435219956)),2,2,151.4214294
2,POINT (105.86286337449849 21.025057255015028),POLYGON ((105.86397590071961 21.02685589213332, 105.86508840009219 21.02505724054666, 105.86397587387225 21.02325861066256, 105.86175087512478 21.02325861066256, 105.86063834890486 21.02505724054666, 105.86175084827744 21.02685589213332, 105.86397590071961 21.02685589213332)),4,5,272.7209037
2,POINT (105.84617544071334 21.037647512262136),POLYGON ((105.84728806094327 21.03944614937805, 105.84840065430475 21.037647497784267, 105.84728803407602 21.03584886790729, 105.84506284735069 21.03584886790729, 105.84395022712195 21.037647497784267, 105.84506282048343 21.03944614937805, 105.84728806094327 21.03944614937805)),3,6,225.7863176
